team,pts_1q,pts_2q,pts_3q,pts_4q,pts_ot1,pts_ot2,pts_total,adversary,pts_adv_1q,pts_adv_2q,pts_adv_3q,pts_adv_4q,pts_ot1.1,pts_ot2.1,pts_adv_total,1q_winner,2q_winner,3q_winner,4q_winner,match_winner,home_away,month_day,year
CHI,33,19,30,29,0,0,111, GSW,35,28,33,23,0,0,119, GSW, GSW, GSW, CHI, GSW, away,  December 2,2022
GSW,35,28,33,23,0,0,119, CHI,33,19,30,29,0,0,111, GSW, GSW, GSW, CHI, GSW, home,  December 2,2022
DAL,20,32,41,28,0,0,121, NYK,32,27,15,26,0,0,100, NYK, DAL, DAL, DAL, DAL, away,  December 3,2022
NYK,32,27,15,26,0,0,100, DAL,20,32,41,28,0,0,121, NYK, DAL, DAL, DAL, DAL, home,  December 3,2022
SAC,38,22,30,33,0,0,123, LAC,24,14,31,27,0,0,96, SAC, SAC, LAC, SAC, SAC, away,  December 3,2022
LAC,24,14,31,27,0,0,96, SAC,38,22,30,33,0,0,123, SAC, SAC, LAC, SAC, SAC, home,  December 3,2022
MIL,30,26,28,21,0,0,105, CHO,24,21,28,23,0,0,96, MIL, MIL, CHO, CHO, MIL, away,  December 3,2022
CHO,24,21,28,23,0,0,96, MIL,30,26,28,21,0,0,105, MIL, MIL, CHO, CHO, MIL, home,  December 3,2022
OKC,32,31,34,38,0,0,135, MIN,29,28,44,27,0,0,128, OKC, OKC, MIN, OKC, OKC, away,  December 3,2022
MIN,29,28,44,27,0,0,128, OKC,32,31,34,38,0,0,135, OKC, OKC, MIN, OKC, OKC, home,  December 3,2022
ORL,22,26,25,35,0,0,108, TOR,36,28,30,27,0,0,121, TOR, TOR, TOR, ORL, TOR, away,  December 3,2022
TOR,36,28,30,27,0,0,121, ORL,22,26,25,35,0,0,108, TOR, TOR, TOR, ORL, TOR, home,  December 3,2022
HOU,23,29,28,21,0,0,101, GSW,39,29,26,26,0,0,120, GSW, GSW, HOU, GSW, GSW, away,  December 3,2022
GSW,39,29,26,26,0,0,120, HOU,23,29,28,21,0,0,101, GSW, GSW, HOU, GSW, GSW, home,  December 3,2022
POR,40,29,23,24,0,0,116, UTA,31,29,30,21,0,0,111, POR, UTA, UTA, POR, POR, away,  December 3,2022
UTA,31,29,30,21,0,0,111, POR,40,29,23,24,0,0,116, POR, UTA, UTA, POR, POR, home,  December 3,2022
DEN,31,29,21,25,0,0,106, NOP,27,32,28,34,0,0,121, DEN, NOP, NOP, NOP, NOP, away,  December 4,2022
NOP,27,32,28,34,0,0,121, DEN,31,29,21,25,0,0,106, DEN, NOP, NOP, NOP, NOP, home,  December 4,2022
PHO,35,36,35,27,0,0,133, SAS,30,11,30,24,0,0,95, PHO, PHO, PHO, PHO, PHO, away,  December 4,2022
SAS,30,11,30,24,0,0,95, PHO,35,36,35,27,0,0,133, PHO, PHO, PHO, PHO, PHO, home,  December 4,2022
BOS,35,27,13,28,0,0,103, BRK,27,23,19,23,0,0,92, BOS, BOS, BRK, BOS, BOS, away,  December 4,2022
BRK,27,23,19,23,0,0,92, BOS,35,27,13,28,0,0,103, BOS, BOS, BRK, BOS, BOS, home,  December 4,2022
MEM,40,29,32,21,0,0,122, DET,26,31,26,29,0,0,112, MEM, DET, MEM, DET, MEM, away,  December 4,2022
DET,26,31,26,29,0,0,112, MEM,40,29,32,21,0,0,122, MEM, DET, MEM, DET, MEM, home,  December 4,2022
CLE,16,27,20,18,0,0,81, NYK,23,23,25,21,0,0,92, NYK, CLE, NYK, NYK, NYK, away,  December 4,2022
NYK,23,23,25,21,0,0,92, CLE,16,27,20,18,0,0,81, NYK, CLE, NYK, NYK, NYK, home,  December 4,2022
CHI,27,20,31,23,0,0,101, SAC,29,33,20,28,0,0,110, SAC, SAC, CHI, SAC, SAC, away,  December 4,2022
SAC,29,33,20,28,0,0,110, CHI,27,20,31,23,0,0,101, SAC, SAC, CHI, SAC, SAC, home,  December 4,2022
LAL,33,35,37,25,0,0,130, WAS,27,23,31,38,0,0,119, LAL, LAL, LAL, WAS, LAL, away,  December 4,2022
WAS,27,23,31,38,0,0,119, LAL,33,35,37,25,0,0,130, LAL, LAL, LAL, WAS, LAL, home,  December 4,2022
IND,24,25,25,26,0,0,100, POR,28,26,39,23,0,0,116, POR, POR, POR, IND, POR, away,  December 4,2022
POR,28,26,39,23,0,0,116, IND,24,25,25,26,0,0,100, POR, POR, POR, IND, POR, home,  December 4,2022
LAC,28,35,21,35,0,0,119, CHO,26,28,36,27,0,0,117, LAC, LAC, CHO, LAC, LAC, away,  December 5,2022
CHO,26,28,36,27,0,0,117, LAC,28,35,21,35,0,0,119, LAC, LAC, CHO, LAC, LAC, home,  December 5,2022
MIL,30,26,32,21,0,0,109, ORL,21,24,27,30,0,0,102, MIL, MIL, MIL, ORL, MIL, away,  December 5,2022
ORL,21,24,27,30,0,0,102, MIL,30,26,32,21,0,0,109, MIL, MIL, MIL, ORL, MIL, home,  December 5,2022
OKC,27,27,30,37,0,0,121, ATL,29,30,29,26,0,0,114, ATL, ATL, OKC, OKC, OKC, away,  December 5,2022
ATL,29,30,29,26,0,0,114, OKC,27,27,30,37,0,0,121, ATL, ATL, OKC, OKC, OKC, home,  December 5,2022
BOS,27,29,35,25,0,0,116, TOR,25,37,18,30,0,0,110, BOS, TOR, BOS, TOR, BOS, away,  December 5,2022
TOR,25,37,18,30,0,0,110, BOS,27,29,35,25,0,0,116, BOS, TOR, BOS, TOR, BOS, home,  December 5,2022
PHI,30,25,29,24,9,6,123, HOU,27,29,34,18,9,15,132, PHI, HOU, HOU, PHI, HOU, away,  December 5,2022
HOU,27,29,34,18,9,15,132, PHI,30,25,29,24,9,6,123, PHI, HOU, HOU, PHI, HOU, home,  December 5,2022
MIA,32,19,26,16,0,0,93, MEM,27,31,24,19,0,0,101, MIA, MEM, MIA, MEM, MEM, away,  December 5,2022
MEM,27,31,24,19,0,0,101, MIA,32,19,26,16,0,0,93, MIA, MEM, MIA, MEM, MEM, home,  December 5,2022
PHO,15,26,34,36,0,0,111, DAL,33,34,29,34,0,0,130, DAL, DAL, PHO, PHO, DAL, away,  December 5,2022
DAL,33,34,29,34,0,0,130, PHO,15,26,34,36,0,0,111, DAL, DAL, PHO, PHO, DAL, home,  December 5,2022
IND,34,25,30,23,0,0,112, GSW,21,29,31,23,0,0,104, IND, GSW, GSW, GSW, IND, away,  December 5,2022
GSW,21,29,31,23,0,0,104, IND,34,25,30,23,0,0,112, IND, GSW, GSW, GSW, IND, home,  December 5,2022
LAL,26,23,34,19,0,0,102, CLE,27,30,28,31,0,0,116, CLE, CLE, LAL, CLE, CLE, away,  December 6,2022
CLE,27,30,28,31,0,0,116, LAL,26,23,34,19,0,0,102, CLE, CLE, LAL, CLE, CLE, home,  December 6,2022
DET,20,27,31,38,0,0,116, MIA,25,25,23,23,0,0,96, MIA, DET, DET, DET, DET, away,  December 6,2022
MIA,25,25,23,23,0,0,96, DET,20,27,31,38,0,0,116, MIA, DET, DET, DET, DET, home,  December 6,2022
DAL,36,28,27,25,0,0,116, DEN,29,29,28,29,0,0,115, DAL, DEN, DEN, DEN, DAL, away,  December 6,2022
DEN,29,29,28,29,0,0,115, DAL,36,28,27,25,0,0,116, DAL, DEN, DEN, DEN, DAL, home,  December 6,2022
LAC,32,17,29,21,12,0,111, ORL,14,26,31,28,17,0,116, LAC, ORL, ORL, ORL, ORL, away,  December 7,2022
ORL,14,26,31,28,17,0,116, LAC,32,17,29,21,12,0,111, LAC, ORL, ORL, ORL, ORL, home,  December 7,2022
CHO,28,27,32,29,0,0,116, BRK,38,35,23,26,0,0,122, BRK, BRK, CHO, CHO, BRK, away,  December 7,2022
BRK,38,35,23,26,0,0,122, CHO,28,27,32,29,0,0,116, BRK, BRK, CHO, CHO, BRK, home,  December 7,2022
ATL,20,21,26,22,0,0,89, NYK,31,22,36,24,0,0,113, NYK, NYK, NYK, NYK, NYK, away,  December 7,2022
NYK,31,22,36,24,0,0,113, ATL,20,21,26,22,0,0,89, NYK, NYK, NYK, NYK, NYK, home,  December 7,2022
LAL,31,16,28,38,0,0,113, TOR,39,31,27,29,0,0,126, TOR, TOR, LAL, LAL, TOR, away,  December 7,2022
TOR,39,31,27,29,0,0,126, LAL,31,16,28,38,0,0,113, TOR, TOR, LAL, LAL, TOR, home,  December 7,2022
WAS,22,27,32,30,0,0,111, CHI,29,23,28,35,0,0,115, CHI, WAS, WAS, CHI, CHI, away,  December 7,2022
CHI,29,23,28,35,0,0,115, WAS,22,27,32,30,0,0,111, CHI, WAS, WAS, CHI, CHI, home,  December 7,2022
OKC,25,27,35,15,0,0,102, MEM,27,30,37,29,0,0,123, MEM, MEM, MEM, MEM, MEM, away,  December 7,2022
MEM,27,30,37,29,0,0,123, OKC,25,27,35,15,0,0,102, MEM, MEM, MEM, MEM, MEM, home,  December 7,2022
SAC,29,32,33,19,0,0,113, MIL,34,34,29,29,0,0,126, MIL, MIL, SAC, MIL, MIL, away,  December 7,2022
MIL,34,34,29,29,0,0,126, SAC,29,32,33,19,0,0,113, MIL, MIL, SAC, MIL, MIL, home,  December 7,2022
IND,17,44,29,25,0,0,115, MIN,35,28,27,31,0,0,121, MIN, IND, IND, MIN, MIN, away,  December 7,2022
