team,pts_1q,pts_2q,pts_3q,pts_4q,pts_ot1,pts_ot2,pts_total,adversary,pts_adv_1q,pts_adv_2q,pts_adv_3q,pts_adv_4q,pts_ot1.1,pts_ot2.1,pts_adv_total,1q_winner,2q_winner,3q_winner,4q_winner,match_winner,home_away,month_day,year
LAL,32,29,30,33,0,0,124, DET,26,23,41,27,0,0,117, LAL, LAL, DET, LAL, LAL, away,  December 11,2022
DET,26,23,41,27,0,0,117, LAL,32,29,30,33,0,0,124, LAL, LAL, DET, LAL, LAL, home,  December 11,2022
SAC,22,28,30,19,0,0,99, NYK,36,30,29,17,0,0,112, NYK, NYK, SAC, SAC, NYK, away,  December 11,2022
NYK,36,30,29,17,0,0,112, SAC,22,28,30,19,0,0,99, NYK, NYK, SAC, SAC, NYK, home,  December 11,2022
TOR,19,20,36,24,0,0,99, ORL,18,29,35,29,0,0,111, TOR, ORL, TOR, ORL, ORL, away,  December 11,2022
ORL,18,29,35,29,0,0,111, TOR,19,20,36,24,0,0,99, TOR, ORL, TOR, ORL, ORL, home,  December 11,2022
CHO,21,33,33,26,0,0,113, PHI,20,41,35,35,0,0,131, CHO, PHI, PHI, PHI, PHI, away,  December 11,2022
PHI,20,41,35,35,0,0,131, CHO,21,33,33,26,0,0,113, CHO, PHI, PHI, PHI, PHI, home,  December 11,2022
CHI,27,23,28,32,12,0,122, ATL,22,36,27,25,13,0,123, CHI, ATL, CHI, CHI, ATL, away,  December 11,2022
ATL,22,36,27,25,13,0,123, CHI,27,23,28,32,12,0,122, CHI, ATL, CHI, CHI, ATL, home,  December 11,2022
MIL,25,23,31,13,0,0,92, HOU,19,31,24,23,0,0,97, MIL, HOU, MIL, HOU, HOU, away,  December 11,2022
HOU,19,31,24,23,0,0,97, MIL,25,23,31,13,0,0,92, MIL, HOU, MIL, HOU, HOU, home,  December 11,2022
MIA,26,21,20,20,0,0,87, IND,19,23,22,18,0,0,82, MIA, IND, IND, MIA, MIA, away,  December 12,2022
IND,19,23,22,18,0,0,82, MIA,26,21,20,20,0,0,87, MIA, IND, IND, MIA, MIA, home,  December 12,2022
BRK,29,33,32,18,0,0,112, WAS,25,30,28,17,0,0,100, BRK, BRK, BRK, BRK, BRK, away,  December 12,2022
WAS,25,30,28,17,0,0,100, BRK,29,33,32,18,0,0,112, BRK, BRK, BRK, BRK, BRK, home,  December 12,2022
ATL,29,22,25,27,0,0,103, MEM,35,27,40,26,0,0,128, MEM, MEM, MEM, ATL, MEM, away,  December 12,2022
MEM,35,27,40,26,0,0,128, ATL,29,22,25,27,0,0,103, MEM, MEM, MEM, ATL, MEM, home,  December 12,2022
OKC,28,24,38,24,0,0,114, DAL,23,43,31,24,0,0,121, OKC, DAL, OKC, DAL, DAL, away,  December 12,2022
DAL,23,43,31,24,0,0,121, OKC,28,24,38,24,0,0,114, OKC, DAL, OKC, DAL, DAL, home,  December 12,2022
CLE,27,22,29,33,0,0,111, SAS,29,36,27,20,0,0,112, SAS, SAS, CLE, CLE, SAS, away,  December 12,2022
SAS,29,36,27,20,0,0,112, CLE,27,22,29,33,0,0,111, SAS, SAS, CLE, CLE, SAS, home,  December 12,2022
MIN,27,32,25,28,0,0,112, POR,33,37,36,27,0,0,133, POR, POR, POR, MIN, POR, away,  December 12,2022
POR,33,37,36,27,0,0,133, MIN,27,32,25,28,0,0,112, POR, POR, POR, MIN, POR, home,  December 12,2022
BOS,25,22,25,21,0,0,93, LAC,29,27,32,25,0,0,113, LAC, LAC, LAC, LAC, LAC, away,  December 12,2022
LAC,29,27,32,25,0,0,113, BOS,25,22,25,21,0,0,93, LAC, LAC, LAC, LAC, LAC, home,  December 12,2022
SAC,32,23,28,20,0,0,103, PHI,39,41,21,22,0,0,123, PHI, PHI, SAC, PHI, PHI, away,  December 13,2022
PHI,39,41,21,22,0,0,123, SAC,32,23,28,20,0,0,103, PHI, PHI, SAC, PHI, PHI, home,  December 13,2022
GSW,27,25,25,34,0,0,111, MIL,38,26,31,33,0,0,128, MIL, MIL, MIL, GSW, MIL, away,  December 13,2022
MIL,38,26,31,33,0,0,128, GSW,27,25,25,34,0,0,111, MIL, MIL, MIL, GSW, MIL, home,  December 13,2022
PHO,20,15,32,30,0,0,97, HOU,27,27,30,27,0,0,111, HOU, HOU, PHO, PHO, HOU, away,  December 13,2022
HOU,27,27,30,27,0,0,111, PHO,20,15,32,30,0,0,97, HOU, HOU, PHO, PHO, HOU, home,  December 13,2022
NOP,30,15,26,29,0,0,100, UTA,29,23,39,30,0,0,121, NOP, UTA, UTA, UTA, UTA, away,  December 13,2022
UTA,29,23,39,30,0,0,121, NOP,30,15,26,29,0,0,100, NOP, UTA, UTA, UTA, UTA, home,  December 13,2022
BOS,37,28,23,22,12,0,122, LAL,24,26,32,28,8,0,118, BOS, BOS, LAL, LAL, BOS, away,  December 13,2022
LAL,24,26,32,28,8,0,118, BOS,37,28,23,22,12,0,122, BOS, BOS, LAL, LAL, BOS, home,  December 13,2022
DET,35,38,34,20,14,0,141, CHO,33,36,28,30,7,0,134, DET, DET, DET, CHO, DET, away,  December 14,2022
CHO,33,36,28,30,7,0,134, DET,35,38,34,20,14,0,141, DET, DET, DET, CHO, DET, home,  December 14,2022
GSW,26,28,33,32,0,0,119, IND,27,47,19,32,0,0,125, IND, IND, GSW, IND, IND, away,  December 14,2022
IND,27,47,19,32,0,0,125, GSW,26,28,33,32,0,0,119, IND, IND, GSW, IND, IND, home,  December 14,2022
ATL,22,40,32,30,0,0,124, ORL,50,26,29,30,0,0,135, ORL, ATL, ATL, ORL, ORL, away,  December 14,2022
ORL,50,26,29,30,0,0,135, ATL,22,40,32,30,0,0,124, ORL, ATL, ATL, ORL, ORL, home,  December 14,2022
NYK,29,35,28,25,11,0,128, CHI,28,27,33,29,3,0,120, NYK, NYK, CHI, CHI, NYK, away,  December 14,2022
CHI,28,27,33,29,3,0,120, NYK,29,35,28,25,11,0,128, NYK, NYK, CHI, CHI, NYK, home,  December 14,2022
SAC,23,36,29,36,0,0,124, TOR,31,31,32,29,0,0,123, TOR, SAC, TOR, SAC, SAC, away,  December 14,2022
TOR,31,31,32,29,0,0,123, SAC,23,36,29,36,0,0,124, TOR, SAC, TOR, SAC, SAC, home,  December 14,2022
MIA,31,33,22,24,0,0,110, OKC,31,21,32,24,0,0,108, OKC, MIA, OKC, OKC, MIA, away,  December 14,2022
OKC,31,21,32,24,0,0,108, MIA,31,33,22,24,0,0,110, OKC, MIA, OKC, OKC, MIA, home,  December 14,2022
POR,39,34,24,31,0,0,128, SAS,28,29,32,23,0,0,112, POR, POR, SAS, POR, POR, away,  December 14,2022
SAS,28,29,32,23,0,0,112, POR,39,34,24,31,0,0,128, POR, POR, SAS, POR, POR, home,  December 14,2022
CLE,26,34,23,22,0,0,105, DAL,19,22,27,22,0,0,90, CLE, CLE, DAL, DAL, CLE, away,  December 14,2022
DAL,19,22,27,22,0,0,90, CLE,26,34,23,22,0,0,105, CLE, CLE, DAL, DAL, CLE, home,  December 14,2022
WAS,31,36,28,33,0,0,128, DEN,38,34,30,39,0,0,141, DEN, WAS, DEN, DEN, DEN, away,  December 14,2022
DEN,38,34,30,39,0,0,141, WAS,31,36,28,33,0,0,128, DEN, WAS, DEN, DEN, DEN, home,  December 14,2022
MIN,21,22,22,23,0,0,88, LAC,19,19,29,32,0,0,99, MIN, MIN, LAC, LAC, LAC, away,  December 14,2022
LAC,19,19,29,32,0,0,99, MIN,21,22,22,23,0,0,88, MIN, MIN, LAC, LAC, LAC, home,  December 14,2022
MIA,29,37,20,25,0,0,111, HOU,29,23,33,23,0,0,108, HOU, MIA, HOU, MIA, MIA, away,  December 15,2022
HOU,29,23,33,23,0,0,108, MIA,29,37,20,25,0,0,111, HOU, MIA, HOU, MIA, MIA, home,  December 15,2022
MIL,18,23,30,30,0,0,101, MEM,33,37,47,25,0,0,142, MEM, MEM, MEM, MIL, MEM, away,  December 15,2022
MEM,33,37,47,25,0,0,142, MIL,18,23,30,30,0,0,101, MEM, MEM, MEM, MIL, MEM, home,  December 15,2022
NOP,25,37,33,28,6,0,129, UTA,27,31,33,32,9,0,132, UTA, NOP, UTA, UTA, UTA, away,  December 15,2022
UTA,27,31,33,32,9,0,132, NOP,25,37,33,28,6,0,129, UTA, NOP, UTA, UTA, UTA, home,  December 15,2022
PHO,29,35,25,22,0,0,111, LAC,18,19,33,25,0,0,95, PHO, PHO, LAC, LAC, PHO, away,  December 15,2022
LAC,18,19,33,25,0,0,95, PHO,29,35,25,22,0,0,111, PHO, PHO, LAC, LAC, PHO, home,  December 15,2022
ATL,38,37,23,27,0,0,125, CHO,24,35,33,14,0,0,106, ATL, ATL, CHO, ATL, ATL, away,  December 16,2022
CHO,24,35,33,14,0,0,106, ATL,38,37,23,27,0,0,125, ATL, ATL, CHO, ATL, ATL, home,  December 16,2022
SAC,28,27,38,29,0,0,122, DET,29,34,23,27,0,0,113, DET, DET, SAC, SAC, SAC, away,  December 16,2022
DET,29,34,23,27,0,0,113, SAC,28,27,38,29,0,0,122, DET, DET, SAC, SAC, SAC, home,  December 16,2022
ORL,32,30,26,29,0,0,117, BOS,28,26,27,28,0,0,109, ORL, ORL, BOS, ORL, ORL, away,  December 16,2022
BOS,28,26,27,28,0,0,109, ORL,32,30,26,29,0,0,117, ORL, ORL, BOS, ORL, ORL, home,  December 16,2022
IND,31,30,33,18,0,0,112, CLE,29,25,29,35,0,0,118, IND, IND, IND, CLE, CLE, away,  December 16,2022
CLE,29,25,29,35,0,0,118, IND,31,30,33,18,0,0,112, IND, IND, IND, CLE, CLE, home,  December 16,2022
GSW,38,19,24,25,0,0,106, PHI,33,22,33,30,0,0,118, GSW, PHI, PHI, PHI, PHI, away,  December 16,2022
PHI,33,22,33,30,0,0,118, GSW,38,19,24,25,0,0,106, GSW, PHI, PHI, PHI, PHI, home,  December 16,2022
BRK,19,33,36,31,0,0,119, TOR,29,33,22,32,0,0,116, TOR, TOR, BRK, TOR, BRK, away,  December 16,2022
TOR,29,33,22,32,0,0,116, BRK,19,33,36,31,0,0,119, TOR, TOR, BRK, TOR, BRK, home,  December 16,2022
NYK,29,29,29,27,0,0,114, CHI,32,21,22,16,0,0,91, CHI, NYK, NYK, NYK, NYK, away,  December 16,2022
CHI,32,21,22,16,0,0,91, NYK,29,29,29,27,0,0,114, CHI, NYK, NYK, NYK, NYK, home,  December 16,2022
MIN,30,33,25,24,0,0,112, OKC,28,22,41,19,0,0,110, MIN, MIN, OKC, MIN, MIN, away,  December 16,2022
OKC,28,22,41,19,0,0,110, MIN,30,33,25,24,0,0,112, MIN, MIN, OKC, MIN, MIN, home,  December 16,2022
POR,32,31,22,25,0,0,110, DAL,31,41,38,20,0,0,130, POR, DAL, DAL, POR, DAL, away,  December 16,2022
DAL,31,41,38,20,0,0,130, POR,32,31,22,25,0,0,110, POR, DAL, DAL, POR, DAL, home,  December 16,2022
DEN,32,33,23,20,0,0,108, LAL,33,31,29,33,0,0,126, LAL, DEN, LAL, LAL, LAL, away,  December 16,2022
LAL,33,31,29,33,0,0,126, DEN,32,33,23,20,0,0,108, LAL, DEN, LAL, LAL, LAL, home,  December 16,2022
WAS,28,29,18,18,0,0,93, LAC,20,30,22,30,0,0,102, WAS, LAC, LAC, LAC, LAC, away,  December 17,2022
LAC,20,30,22,30,0,0,102, WAS,28,29,18,18,0,0,93, WAS, LAC, LAC, LAC, LAC, home,  December 17,2022
MIA,25,27,28,31,0,0,111, SAS,28,27,29,17,0,0,101, SAS, SAS, SAS, MIA, MIA, away,  December 17,2022
SAS,28,27,29,17,0,0,101, MIA,25,27,28,31,0,0,111, SAS, SAS, SAS, MIA, MIA, home,  December 17,2022
DAL,29,20,26,21,3,0,99, CLE,27,20,20,29,4,0,100, DAL, CLE, DAL, CLE, CLE, away,  December 17,2022
CLE,27,20,20,29,4,0,100, DAL,29,20,26,21,3,0,99, DAL, CLE, DAL, CLE, CLE, home,  December 17,2022
POR,33,24,28,22,0,0,107, HOU,27,24,14,30,0,0,95, POR, HOU, POR, HOU, POR, away,  December 17,2022
HOU,27,24,14,30,0,0,95, POR,33,24,28,22,0,0,107, POR, HOU, POR, HOU, POR, home,  December 17,2022
UTA,22,25,36,14,0,0,97, MIL,27,29,36,31,0,0,123, MIL, MIL, MIL, MIL, MIL, away,  December 17,2022
MIL,27,29,36,31,0,0,123, UTA,22,25,36,14,0,0,97, MIL, MIL, MIL, MIL, MIL, home,  December 17,2022
MEM,21,22,33,33,0,0,109, OKC,25,39,27,24,0,0,115, OKC, OKC, MEM, MEM, OKC, away,  December 17,2022
OKC,25,39,27,24,0,0,115, MEM,21,22,33,33,0,0,109, OKC, OKC, MEM, MEM, OKC, home,  December 17,2022
NOP,34,29,26,25,0,0,114, PHO,27,19,38,34,0,0,118, NOP, NOP, PHO, PHO, PHO, away,  December 17,2022
PHO,27,19,38,34,0,0,118, NOP,34,29,26,25,0,0,114, NOP, NOP, PHO, PHO, PHO, home,  December 17,2022
ORL,26,24,18,27,0,0,95, BOS,23,18,30,21,0,0,92, ORL, ORL, BOS, ORL, ORL, away,  December 18,2022
BOS,23,18,30,21,0,0,92, ORL,26,24,18,27,0,0,95, ORL, ORL, BOS, ORL, ORL, home,  December 18,2022
NYK,29,25,30,25,0,0,109, IND,28,25,32,21,0,0,106, NYK, IND, IND, NYK, NYK, away,  December 18,2022
IND,28,25,32,21,0,0,106, NYK,29,25,30,25,0,0,109, NYK, IND, IND, NYK, NYK, home,  December 18,2022
BRK,21,33,44,26,0,0,124, DET,35,36,25,25,0,0,121, DET, DET, BRK, BRK, BRK, away,  December 18,2022
DET,35,36,25,25,0,0,121, BRK,21,33,44,26,0,0,124, DET, DET, BRK, BRK, BRK, home,  December 18,2022
GSW,36,32,34,24,0,0,126, TOR,26,28,26,30,0,0,110, GSW, GSW, GSW, TOR, GSW, away,  December 18,2022
TOR,26,28,26,30,0,0,110, GSW,36,32,34,24,0,0,126, GSW, GSW, GSW, TOR, GSW, home,  December 18,2022
CHI,34,31,32,29,0,0,126, MIN,32,39,42,37,0,0,150, CHI, MIN, MIN, MIN, MIN, away,  December 18,2022
MIN,32,39,42,37,0,0,150, CHI,34,31,32,29,0,0,126, CHI, MIN, MIN, MIN, MIN, home,  December 18,2022
CHO,25,27,28,35,0,0,115, DEN,20,35,39,25,0,0,119, CHO, DEN, DEN, CHO, DEN, away,  December 18,2022
DEN,20,35,39,25,0,0,119, CHO,25,27,28,35,0,0,115, CHO, DEN, DEN, CHO, DEN, home,  December 18,2022
WAS,29,23,36,29,0,0,117, LAL,30,36,21,32,0,0,119, LAL, LAL, WAS, LAL, LAL, away,  December 18,2022
LAL,30,36,21,32,0,0,119, WAS,29,23,36,29,0,0,117, LAL, LAL, WAS, LAL, LAL, home,  December 18,2022
UTA,21,23,27,28,0,0,99, CLE,29,33,28,32,0,0,122, CLE, CLE, CLE, CLE, CLE, away,  December 19,2022
CLE,29,33,28,32,0,0,122, UTA,21,23,27,28,0,0,99, CLE, CLE, CLE, CLE, CLE, home,  December 19,2022
TOR,23,23,32,21,2,0,101, PHI,22,35,21,21,5,0,104, TOR, PHI, TOR, PHI, PHI, away,  December 19,2022
PHI,22,35,21,21,5,0,104, TOR,23,23,32,21,2,0,101, TOR, PHI, TOR, PHI, PHI, home,  December 19,2022
ORL,27,38,29,31,0,0,125, ATL,34,34,36,22,0,0,126, ATL, ORL, ATL, ORL, ATL, away,  December 19,2022
ATL,34,34,36,22,0,0,126, ORL,27,38,29,31,0,0,125, ATL, ORL, ATL, ORL, ATL, home,  December 19,2022
SAS,35,25,32,32,0,0,124, HOU,28,34,14,29,0,0,105, SAS, HOU, SAS, SAS, SAS, away,  December 19,2022
HOU,28,34,14,29,0,0,105, SAS,35,25,32,32,0,0,124, SAS, HOU, SAS, SAS, SAS, home,  December 19,2022
DAL,30,14,30,32,0,0,106, MIN,21,36,37,22,0,0,116, DAL, MIN, MIN, DAL, MIN, away,  December 19,2022
MIN,21,36,37,22,0,0,116, DAL,30,14,30,32,0,0,106, DAL, MIN, MIN, DAL, MIN, home,  December 19,2022
MIL,30,36,34,28,0,0,128, NOP,27,34,29,29,0,0,119, MIL, MIL, MIL, NOP, MIL, away,  December 19,2022
NOP,27,34,29,29,0,0,119, MIL,30,36,34,28,0,0,128, MIL, MIL, MIL, NOP, MIL, home,  December 19,2022
POR,28,30,36,27,0,0,121, OKC,28,33,33,29,0,0,123, OKC, OKC, POR, OKC, OKC, away,  December 19,2022
OKC,28,33,33,29,0,0,123, POR,28,30,36,27,0,0,121, OKC, OKC, POR, OKC, OKC, home,  December 19,2022
LAL,24,20,33,27,0,0,104, PHO,38,30,31,31,0,0,130, PHO, PHO, LAL, PHO, PHO, away,  December 19,2022
PHO,38,30,31,31,0,0,130, LAL,24,20,33,27,0,0,104, PHO, PHO, LAL, PHO, PHO, home,  December 19,2022
CHO,39,27,25,34,0,0,125, SAC,30,33,29,27,0,0,119, CHO, SAC, SAC, CHO, CHO, away,  December 19,2022
SAC,30,33,29,27,0,0,119, CHO,39,27,25,34,0,0,125, CHO, SAC, SAC, CHO, CHO, home,  December 19,2022
CHI,31,21,36,25,0,0,113, MIA,21,36,20,26,0,0,103, CHI, MIA, CHI, MIA, CHI, away,  December 20,2022
MIA,21,36,20,26,0,0,103, CHI,31,21,36,25,0,0,113, CHI, MIA, CHI, MIA, CHI, home,  December 20,2022
GSW,25,31,25,13,0,0,94, NYK,33,36,31,32,0,0,132, NYK, NYK, NYK, NYK, NYK, away,  December 20,2022
NYK,33,36,31,32,0,0,132, GSW,25,31,25,13,0,0,94, NYK, NYK, NYK, NYK, NYK, home,  December 20,2022
WAS,27,26,27,33,0,0,113, PHO,30,18,30,32,0,0,110, PHO, WAS, PHO, WAS, WAS, away,  December 20,2022
PHO,30,18,30,32,0,0,110, WAS,27,26,27,33,0,0,113, PHO, WAS, PHO, WAS, WAS, home,  December 20,2022
MEM,14,26,31,20,0,0,91, DEN,35,20,29,21,0,0,105, DEN, MEM, MEM, DEN, DEN, away,  December 20,2022
DEN,35,20,29,21,0,0,105, MEM,14,26,31,20,0,0,91, DEN, MEM, MEM, DEN, DEN, home,  December 20,2022
MIL,20,22,35,29,0,0,106, CLE,35,25,33,21,0,0,114, CLE, CLE, MIL, MIL, CLE, away,  December 21,2022
CLE,35,25,33,21,0,0,114, MIL,20,22,35,29,0,0,106, CLE, CLE, MIL, MIL, CLE, home,  December 21,2022
DET,29,22,27,15,0,0,93, PHI,37,26,29,21,0,0,113, PHI, PHI, PHI, PHI, PHI, away,  December 21,2022
PHI,37,26,29,21,0,0,113, DET,29,22,27,15,0,0,93, PHI, PHI, PHI, PHI, PHI, home,  December 21,2022
CHI,30,31,20,29,0,0,110, ATL,25,26,26,31,0,0,108, CHI, CHI, ATL, ATL, CHI, away,  December 21,2022
ATL,25,26,26,31,0,0,108, CHI,30,31,20,29,0,0,110, CHI, CHI, ATL, ATL, CHI, home,  December 21,2022
IND,42,29,29,17,0,0,117, BOS,22,21,42,27,0,0,112, IND, IND, BOS, BOS, IND, away,  December 21,2022
BOS,22,21,42,27,0,0,112, IND,42,29,29,17,0,0,117, IND, IND, BOS, BOS, IND, home,  December 21,2022
GSW,17,34,28,34,0,0,113, BRK,46,45,18,34,0,0,143, BRK, BRK, GSW, BRK, BRK, away,  December 21,2022
BRK,46,45,18,34,0,0,143, GSW,17,34,28,34,0,0,113, BRK, BRK, GSW, BRK, BRK, home,  December 21,2022
TOR,28,35,24,26,0,0,113, NYK,27,26,27,26,0,0,106, TOR, TOR, NYK, NYK, TOR, away,  December 21,2022
NYK,27,26,27,26,0,0,106, TOR,28,35,24,26,0,0,113, TOR, TOR, NYK, NYK, TOR, home,  December 21,2022
ORL,25,29,31,31,0,0,116, HOU,31,33,23,23,0,0,110, HOU, HOU, ORL, ORL, ORL, away,  December 21,2022
HOU,31,33,23,23,0,0,110, ORL,25,29,31,31,0,0,116, HOU, HOU, ORL, ORL, ORL, home,  December 21,2022
DAL,29,22,24,29,0,0,104, MIN,31,21,22,25,0,0,99, MIN, DAL, DAL, DAL, DAL, away,  December 21,2022
MIN,31,21,22,25,0,0,99, DAL,29,22,24,29,0,0,104, MIN, DAL, DAL, DAL, DAL, home,  December 21,2022
POR,32,22,24,20,0,0,98, OKC,22,27,29,23,0,0,101, POR, OKC, OKC, OKC, OKC, away,  December 21,2022
OKC,22,27,29,23,0,0,101, POR,32,22,24,20,0,0,98, POR, OKC, OKC, OKC, OKC, home,  December 21,2022
LAL,26,32,28,34,0,0,120, SAC,25,41,40,28,0,0,134, LAL, SAC, SAC, LAL, SAC, away,  December 21,2022
SAC,25,41,40,28,0,0,134, LAL,26,32,28,34,0,0,120, LAL, SAC, SAC, LAL, SAC, home,  December 21,2022
CHO,19,21,34,31,0,0,105, LAC,37,34,26,29,0,0,126, LAC, LAC, CHO, CHO, LAC, away,  December 21,2022
LAC,37,34,26,29,0,0,126, CHO,19,21,34,31,0,0,105, LAC, LAC, CHO, CHO, LAC, home,  December 21,2022
SAS,17,29,29,42,0,0,117, NOP,37,28,29,32,0,0,126, NOP, SAS, NOP, SAS, NOP, away,  December 22,2022
NOP,37,28,29,32,0,0,126, SAS,17,29,29,42,0,0,117, NOP, SAS, NOP, SAS, NOP, home,  December 22,2022
WAS,27,39,24,22,0,0,112, UTA,30,30,33,27,0,0,120, UTA, WAS, UTA, UTA, UTA, away,  December 22,2022
UTA,30,30,33,27,0,0,120, WAS,27,39,24,22,0,0,112, UTA, WAS, UTA, UTA, UTA, home,  December 22,2022
SAS,28,33,28,24,0,0,113, ORL,34,27,33,39,0,0,133, ORL, SAS, ORL, ORL, ORL, away,  December 23,2022
ORL,34,27,33,39,0,0,133, SAS,28,33,28,24,0,0,113, ORL, SAS, ORL, ORL, ORL, home,  December 23,2022
LAC,33,30,22,29,0,0,114, PHI,24,27,34,34,0,0,119, LAC, LAC, PHI, PHI, PHI, away,  December 23,2022
PHI,24,27,34,34,0,0,119, LAC,33,30,22,29,0,0,114, LAC, LAC, PHI, PHI, PHI, home,  December 23,2022
DET,34,29,18,24,0,0,105, ATL,32,28,35,35,0,0,130, DET, DET, ATL, ATL, ATL, away,  December 23,2022
ATL,32,28,35,35,0,0,130, DET,34,29,18,24,0,0,105, DET, DET, ATL, ATL, ATL, home,  December 23,2022
MIN,29,27,30,23,0,0,109, BOS,22,32,34,33,0,0,121, MIN, BOS, BOS, BOS, BOS, away,  December 23,2022
BOS,22,32,34,33,0,0,121, MIN,29,27,30,23,0,0,109, MIN, BOS, BOS, BOS, BOS, home,  December 23,2022
MIL,29,18,28,25,0,0,100, BRK,36,24,25,33,0,0,118, BRK, BRK, MIL, BRK, BRK, away,  December 23,2022
BRK,36,24,25,33,0,0,118, MIL,29,18,28,25,0,0,100, BRK, BRK, MIL, BRK, BRK, home,  December 23,2022
TOR,39,30,29,20,0,0,118, CLE,31,22,25,29,0,0,107, TOR, TOR, TOR, CLE, TOR, away,  December 23,2022
CLE,31,22,25,29,0,0,107, TOR,39,30,29,20,0,0,118, TOR, TOR, TOR, CLE, TOR, home,  December 23,2022
CHI,29,29,31,29,0,0,118, NYK,22,38,32,25,0,0,117, CHI, NYK, NYK, CHI, CHI, away,  December 23,2022
NYK,22,38,32,25,0,0,117, CHI,29,29,31,29,0,0,118, CHI, NYK, NYK, CHI, CHI, home,  December 23,2022
DAL,30,31,20,31,0,0,112, HOU,24,26,34,22,0,0,106, DAL, DAL, HOU, DAL, DAL, away,  December 23,2022
HOU,24,26,34,22,0,0,106, DAL,30,31,20,31,0,0,112, DAL, DAL, HOU, DAL, DAL, home,  December 23,2022
IND,31,25,28,27,0,0,111, MIA,28,30,24,26,0,0,108, IND, MIA, IND, IND, IND, away,  December 23,2022
MIA,28,30,24,26,0,0,108, IND,31,25,28,27,0,0,111, IND, MIA, IND, IND, IND, home,  December 23,2022
NOP,33,31,16,32,16,0,128, OKC,23,23,31,35,13,0,125, NOP, NOP, OKC, OKC, NOP, away,  December 23,2022
OKC,23,23,31,35,13,0,125, NOP,33,31,16,32,16,0,128, NOP, NOP, OKC, OKC, NOP, home,  December 23,2022
POR,27,37,16,27,0,0,107, DEN,32,26,35,27,0,0,120, DEN, POR, DEN, DEN, DEN, away,  December 23,2022
DEN,32,26,35,27,0,0,120, POR,27,37,16,27,0,0,107, DEN, POR, DEN, DEN, DEN, home,  December 23,2022
MEM,39,20,38,28,0,0,125, PHO,20,18,31,31,0,0,100, MEM, MEM, MEM, PHO, MEM, away,  December 23,2022
PHO,20,18,31,31,0,0,100, MEM,39,20,38,28,0,0,125, MEM, MEM, MEM, PHO, MEM, home,  December 23,2022
WAS,28,40,34,23,0,0,125, SAC,27,23,33,28,0,0,111, WAS, WAS, WAS, SAC, WAS, away,  December 23,2022
SAC,27,23,33,28,0,0,111, WAS,28,40,34,23,0,0,125, WAS, WAS, WAS, SAC, WAS, home,  December 23,2022
CHO,27,40,30,37,0,0,134, LAL,31,36,20,43,0,0,130, LAL, CHO, CHO, LAL, CHO, away,  December 23,2022
LAL,31,36,20,43,0,0,130, CHO,27,40,30,37,0,0,134, LAL, CHO, CHO, LAL, CHO, home,  December 23,2022
PHI,25,35,35,24,0,0,119, NYK,37,26,33,16,0,0,112, NYK, PHI, PHI, PHI, PHI, away,  December 25,2022
NYK,37,26,33,16,0,0,112, PHI,25,35,35,24,0,0,119, NYK, PHI, PHI, PHI, PHI, home,  December 25,2022
LAL,28,26,21,40,0,0,115, DAL,21,22,51,30,0,0,124, LAL, LAL, DAL, LAL, DAL, away,  December 25,2022
DAL,21,22,51,30,0,0,124, LAL,28,26,21,40,0,0,115, LAL, LAL, DAL, LAL, DAL, home,  December 25,2022
MIL,28,33,25,32,0,0,118, BOS,36,26,38,39,0,0,139, BOS, MIL, BOS, BOS, BOS, away,  December 25,2022
BOS,36,26,38,39,0,0,139, MIL,28,33,25,32,0,0,118, BOS, MIL, BOS, BOS, BOS, home,  December 25,2022
MEM,29,25,30,25,0,0,109, GSW,33,26,40,24,0,0,123, GSW, GSW, GSW, MEM, GSW, away,  December 25,2022
GSW,33,26,40,24,0,0,123, MEM,29,25,30,25,0,0,109, GSW, GSW, GSW, MEM, GSW, home,  December 25,2022
PHO,24,33,27,29,12,0,125, DEN,28,23,30,32,15,0,128, DEN, PHO, DEN, DEN, DEN, away,  December 25,2022
DEN,28,23,30,32,15,0,128, PHO,24,33,27,29,12,0,125, DEN, PHO, DEN, DEN, DEN, home,  December 25,2022
BRK,34,31,26,34,0,0,125, CLE,22,27,30,38,0,0,117, BRK, BRK, CLE, CLE, BRK, away,  December 26,2022
CLE,22,27,30,38,0,0,117, BRK,34,31,26,34,0,0,125, BRK, BRK, CLE, CLE, BRK, home,  December 26,2022
LAC,31,35,30,32,14,0,142, DET,36,25,39,28,3,0,131, DET, LAC, DET, LAC, LAC, away,  December 26,2022
DET,36,25,39,28,3,0,131, LAC,31,35,30,32,14,0,142, DET, LAC, DET, LAC, LAC, home,  December 26,2022
MIN,31,25,30,24,0,0,110, MIA,33,26,34,20,0,0,113, MIA, MIA, MIA, MIN, MIA, away,  December 26,2022
MIA,33,26,34,20,0,0,113, MIN,31,25,30,24,0,0,110, MIA, MIA, MIA, MIN, MIA, home,  December 26,2022
HOU,36,28,35,34,0,0,133, CHI,26,39,24,29,0,0,118, HOU, CHI, HOU, HOU, HOU, away,  December 26,2022
CHI,26,39,24,29,0,0,118, HOU,36,28,35,34,0,0,133, HOU, CHI, HOU, HOU, HOU, home,  December 26,2022
IND,18,20,24,31,0,0,93, NOP,24,33,33,23,0,0,113, NOP, NOP, NOP, IND, NOP, away,  December 26,2022
